apk_name,package_name,label,risk_score_prediction,targets_old_sdk,boot_persistence,user_persistence,suspicious_libraries,num_suspicious_urls,num_total_permissions,num_suspicious_permissions,perm_CAMERA,perm_RECORD_AUDIO,perm_WAKE_LOCK,perm_SYSTEM_ALERT_WINDOW,perm_BLUETOOTH_ADMIN,perm_WRITE_SETTINGS,perm_WRITE_SECURE_SETTINGS,perm_ACCESS_COARSE_LOCATION,perm_ACCESS_FINE_LOCATION,perm_ACCESS_BACKGROUND_LOCATION,perm_FOREGROUND_SERVICE_LOCATION,perm_ACTIVITY_RECOGNITION,perm_ACTIVITY_RECOGNITION,perm_ACCESS_WIFI_STATE,perm_ACCESS_NETWORK_STATE,perm_CHANGE_WIFI_STATE,perm_FOREGROUND_SERVICE_MICROPHONE,perm_FOREGROUND_SERVICE_CAMERA,perm_ACCESS_NOTIFICATION_POLICY,perm_RECEIVE_BOOT_COMPLETED,perm_REQUEST_IGNORE_BATTERY_OPTIMIZATIONS,perm_REQUEST_DELETE_PACKAGES
"jp.co.sony.hes.home_3.0.1-30001002_minAPI26(arm64-v8a,armeabi-v7a,x86,x86_64)(nodpi)_apkmirror.com.apk",jp.co.sony.hes.home,0,,0,0,0,1,58728,20,9,1,1,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0
com.tiktok.lite.go_42.9.53-420953_2arch_7dpi_24lang_6feat_e4f0414b416219c115b157e42d4491cd_apkmirror.com_base.apk,com.tiktok.lite.go,0,,0,0,0,0,10955,54,6,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
"com.kidslox.app_9.6.0-55138_minAPI26(arm64-v8a,armeabi-v7a,x86,x86_64)(nodpi)_apkmirror.com.apk",com.kidslox.app,1,,0,0,0,1,976636,42,12,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1
com.readdle.spark_3.16.4-31604246_2arch_7dpi_9lang_10dce031f1b71ea8391fbf5f48c647b4_apkmirror.com_base.apk,com.readdle.spark,0,,0,0,0,0,138555,28,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
com.flashget.parentalcontrol_1.3.8.2-103080201_4arch_2cc9f4ea5f52de3136b29e8e36ab663f_apkmirror.com_base.apk,com.flashget.parentalcontrol,1,,0,0,0,0,96916,24,8,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0
"com.babycenter.pregnancytracker_6.03.0-207_minAPI26(arm64-v8a,armeabi-v7a,x86,x86_64)(nodpi)_apkmirror.com.apk",com.babycenter.pregnancytracker,0,,0,0,0,1,224434,21,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
com.citymapper.app.release_11.47.1-1147080_4arch_7dpi_11lang_d4c6a1472a6cba9502c2e93c964ce560_apkmirror.com_base.apk,com.citymapper.app.release,0,,0,0,0,0,135929,31,9,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0
"com.sec.android.app.popupcalculator_12.5.00.24-1250024000_minAPI36(arm64-v8a,armeabi-v7a)(nodpi)_apkmirror.com.apk",com.sec.android.app.popupcalculator,0,,0,0,0,1,6384,12,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
com.easilydo.mail_1.69.0-634_2arch_7dpi_1feat_d479ddc110369be5ee8ac26ca5b83fd9_apkmirror.com_base.apk,com.easilydo.mail,0,,0,0,0,0,79020,48,6,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
com.google.android.inputmethod.latin_16.8.4.867538971-release-armeabi-v7a-175666557_minAPI26(armeabi-v7a)(nodpi)_apkmirror.com.apk,com.google.android.inputmethod.latin,0,,0,0,0,1,109014,14,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
